City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Olinda,BR,82.4,few clouds,-8.01,-34.86,Hotel 5 Sóis
467,Aquiraz,BR,86.0,few clouds,-3.9,-38.39,Hotel Laguna Blu
470,Lengshuitan,CN,78.87,scattered clouds,26.41,111.6,Jialong Hotel
471,Dutse,NG,84.61,scattered clouds,11.76,9.34,Kaci
472,Naples,IT,84.99,few clouds,40.83,14.25,Renaissance Naples Hotel Mediterraneo
475,Laguna,US,80.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
476,Acapulco,MX,87.8,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
478,Kampot,KH,82.4,broken clouds,10.62,104.18,Champa Lodge
480,Barcelos,PT,79.0,clear sky,41.54,-8.62,Hotel Do Terço
481,Itarema,BR,85.08,overcast clouds,-2.92,-39.92,Windvillage
482,Lamar,US,88.0,scattered clouds,33.67,-95.58,Kings Inn Paris TX
485,Manavgat,TR,82.4,clear sky,36.79,31.44,Lake & River Side Hotel & Spa
487,Male,MV,82.4,overcast clouds,4.17,73.51,Hotel Octave Maldives
488,Saryagash,KZ,77.0,few clouds,41.45,69.17,Paradise Hotel
491,Tanda,IN,86.22,light rain,26.55,82.65,MUMTAZ GANJ TANDA
492,Badnawar,IN,81.32,overcast clouds,23.02,75.22,Hotel Mrityunjay
493,Vanimo,PG,76.1,heavy intensity rain,-2.67,141.3,Vahmoneh Lodge Vanimo
494,Astorga,BR,78.8,clear sky,-23.23,-51.67,Rancho Jads
495,Stoughton,US,89.6,broken clouds,42.13,-71.1,Courtyard by Marriott Boston Stoughton
497,Wewak,PG,79.05,moderate rain,-3.55,143.63,In Wewak Boutique Hotel
498,Manado,ID,75.2,scattered clouds,1.49,124.85,Aryaduta Hotel
499,Mutum,BR,76.51,broken clouds,-19.8,-41.44,Hotel do Djalma
504,Trairi,BR,85.62,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
506,Mumford,GH,75.11,clear sky,5.26,-0.76,Spanish Villa
508,Marshfield,US,82.99,overcast clouds,44.67,-90.17,Holiday Inn Conference Ctr Marshfield
511,Nouadhibou,MR,80.6,scattered clouds,20.93,-17.03,El Medina
514,Tutoia,BR,85.48,broken clouds,-2.76,-42.27,Pousada Guará's
516,Luwuk,ID,76.53,light rain,-0.95,122.79,Hotel Santika Luwuk
517,Guano,EC,77.0,broken clouds,-1.58,-78.63,Vista Hermosa
520,Kyaikkami,MM,82.29,moderate rain,16.08,97.57,Happy Family Kyaikkami
525,Phanom Thuan,TH,82.09,overcast clouds,14.13,99.7,ตึกส้ม หน้าสภ.พนมทวน
532,Sulangan,PH,82.17,overcast clouds,11.14,123.72,Maia's Beach Resort
533,Tucuman,AR,75.2,smoke,-26.82,-65.22,Dallas Hotel Tucuman
534,Karachi,PK,89.6,few clouds,24.91,67.08,HOTEL MEHRAN
539,Whitefish,US,80.01,clear sky,48.41,-114.34,Best Western Rocky Mountain Lodge
542,Derzhavinsk,KZ,78.03,clear sky,51.1,66.32,Ooo.khim Baza
543,Russell,US,89.6,few clouds,32.35,-85.2,Macs
544,Shahrud,IR,76.26,clear sky,36.42,54.98,Royal Hotel
548,Seoul,KR,77.0,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
549,Ambon,ID,77.88,light rain,-3.7,128.18,Swiss-Belhotel Ambon
550,Alugan,PH,77.49,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
551,Sur,OM,86.29,clear sky,22.57,59.53,Sur Plaza Hotel
553,Honolulu,US,80.6,few clouds,21.31,-157.86,Aston at the Executive Centre Hotel
555,Hefei,CN,86.0,broken clouds,31.86,117.28,Jinhuan Hotel
557,Puerto Escondido,MX,89.6,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
559,Camacha,PT,75.2,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
560,Romitan,UZ,78.8,clear sky,39.93,64.38,Hotel Temur
561,Lodwar,KE,89.62,overcast clouds,3.12,35.6,Turkwel Lodge
568,Fort Nelson,CA,75.2,scattered clouds,58.81,-122.7,The Fort Nelson Hotel
570,Semnan,IR,86.43,clear sky,35.57,53.4,Semnan Tourist Hotel
572,Pitimbu,BR,82.4,scattered clouds,-7.47,-34.81,Reserva do Abiaí
575,Sao Joao Da Barra,BR,77.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
579,Pyay,MM,78.8,overcast clouds,18.82,95.22,Shwe Pyi Thar
582,Longview,US,86.0,clear sky,32.5,-94.74,Homewood Suites by Hilton Longview
584,Tiarei,PF,77.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
589,Soure,BR,87.39,scattered clouds,-0.72,-48.52,Hotel Marajó
590,Punta Cardon,VE,89.24,scattered clouds,11.66,-70.22,Posada Bambuda
591,Kulhudhuffushi,MV,82.83,overcast clouds,6.62,73.07,Haajy Guest House 1
592,Atalaya,PA,88.02,overcast clouds,8.05,-80.93,Atalaya Inn
593,Ascension,US,90.0,light rain,30.22,-90.9,Highland Inn
594,Korla,CN,83.39,broken clouds,41.76,86.15,Gulisitan Hotel
598,Duncan,US,86.0,broken clouds,34.5,-97.96,Days Inn by Wyndham Duncan
599,Vila Do Maio,CV,84.2,scattered clouds,15.13,-23.22,Residence 'I Delfini'
600,Gizo,SB,79.59,overcast clouds,-8.1,156.84,Imagination Island
601,Cimarron Hills,US,80.6,few clouds,38.86,-104.7,Holiday Inn Express & Suites Colorado Springs-First & Main
605,Nampa,US,87.01,clear sky,43.54,-116.56,Nampa Downtown
